delivery_id,driver_id,delivery_distance_meters,delivery_status
68405119,8378,5199,DELIVERED
68405123,2473,410,DELIVERED
68405206,7615,3784,DELIVERED
68405465,8378,5714,DELIVERED
68406064,10463,3746,DELIVERED
68408108,16430,3924,DELIVERED
68408109,14513,2489,DELIVERED
68409030,0,2564,CANCELLED
68410055,9996,340,DELIVERED
68412121,23092,1081,DELIVERED
68412122,9996,2880,DELIVERED
68412123,9996,1450,DELIVERED
68412131,25575,1699,DELIVERED
68412134,9392,5951,DELIVERED
68412148,15156,2353,DELIVERED
68412322,29669,1014,DELIVERED
68412444,10514,5796,DELIVERED
68412721,7396,4425,DELIVERED
68413340,14702,2007,DELIVERED
68414018,26154,5385,DELIVERED
68414309,26154,3854,DELIVERED
68414512,26154,5514,DELIVERED
68414563,15561,3768,DELIVERED
68414907,15898,2927,DELIVERED
68415103,14059,709,DELIVERED
68415140,12893,3484,DELIVERED
68415344,21923,727,DELIVERED
68415457,4190,1793,DELIVERED
68415474,24830,1796,DELIVERED
68415543,24830,1418,DELIVERED
68415947,9828,4417,DELIVERED
68416059,9043,4284,DELIVERED
68416226,23093,1249,DELIVERED
68416227,24584,700,DELIVERED
68416230,358,1853,DELIVERED
68416339,12077,2258,DELIVERED
68416397,30854,2787,DELIVERED
68416643,8456,2472,DELIVERED
68417189,6165,842,DELIVERED
68417307,25651,3667,DELIVERED
68417497,12023,2068,DELIVERED
68417544,2355,1828,DELIVERED
68417646,26075,1787,DELIVERED
68417778,5628,3429,DELIVERED
68417783,12136,1683,DELIVERED
68417787,17907,3112,DELIVERED
68417799,5250,1976,DELIVERED
68418089,9211,940,DELIVERED
68418092,9025,3651,DELIVERED
68418430,15661,3642,DELIVERED
68418711,14382,2381,DELIVERED
68419091,10514,4704,DELIVERED
68419094,726,995,DELIVERED
68419140,30574,1322,DELIVERED
68419146,29966,4382,DELIVERED
68419302,5052,3046,DELIVERED
68419305,30574,1171,DELIVERED
68419373,430,1389,DELIVERED
68419684,4937,1992,DELIVERED
68419797,938,1154,DELIVERED
68419848,22901,4665,DELIVERED
68420053,25651,1452,DELIVERED
68420308,0,2100,CANCELLED
68420589,731,1811,DELIVERED
68420592,25651,1488,DELIVERED
68420776,28171,816,DELIVERED
68420869,25651,3498,DELIVERED
68421071,8940,1754,DELIVERED
68421547,27294,3579,DELIVERED
68421551,10259,923,DELIVERED
68421917,25651,3617,DELIVERED
68421987,25651,1299,DELIVERED
68422045,358,4992,DELIVERED
68422076,25651,2591,DELIVERED
68422092,3834,519,DELIVERED
68422281,512,2202,DELIVERED
68422614,8266,3659,DELIVERED
68422671,10614,3073,DELIVERED
68422740,0,2995,CANCELLED
68423110,29378,1341,DELIVERED
68423162,357,3659,DELIVERED
68423436,13043,1628,DELIVERED
68423588,1113,1658,DELIVERED
68423643,5623,949,DELIVERED
68423762,24571,2284,DELIVERED
68423847,11466,4517,DELIVERED
68424216,1113,2995,DELIVERED
68424238,17477,1333,DELIVERED
68424433,9509,93,DELIVERED
68424547,26879,825,DELIVERED
68424656,357,395,DELIVERED
68424659,23093,726,DELIVERED
68424660,22260,1420,DELIVERED
68424858,6161,3976,DELIVERED
68425021,25651,251,DELIVERED
68425058,14511,4144,DELIVERED
68425821,5628,1387,DELIVERED
68426187,10514,4564,DELIVERED
68426262,7396,416,DELIVERED
68426299,25651,2406,DELIVERED
68426376,25651,4504,DELIVERED
68426421,25651,2549,DELIVERED
68426427,6361,4135,DELIVERED
68426471,25798,2027,DELIVERED
68426619,5628,1894,DELIVERED
68426696,9828,4699,DELIVERED
68426996,17227,4918,DELIVERED
68427057,5128,2430,DELIVERED
68427326,14382,2100,DELIVERED
68427588,2945,1859,DELIVERED
68427630,14382,2582,DELIVERED
68427637,25409,3703,DELIVERED
68427952,5250,1028,DELIVERED
68427968,14382,2849,DELIVERED
68428396,25651,2529,DELIVERED
68428457,358,3283,DELIVERED
68428503,425,1610,DELIVERED
68428566,888,5390,DELIVERED
68428840,26075,2417,DELIVERED
68429064,10560,2147,DELIVERED
68429127,16430,3617,DELIVERED
68429213,28171,788,DELIVERED
68429311,30030,2797,DELIVERED
68429364,12136,1944,DELIVERED
68429379,26588,1168,DELIVERED
68429530,26052,1239,DELIVERED
68429550,6662,2068,DELIVERED
68429631,14702,4112,DELIVERED
68429881,25651,1458,DELIVERED
68430182,25651,987,DELIVERED
68430224,9509,2539,DELIVERED
68430280,13043,2565,DELIVERED
68430392,13527,763,DELIVERED
68430452,8378,5389,DELIVERED
68430487,8958,3791,DELIVERED
68430526,6656,1769,DELIVERED
68430527,174,286,DELIVERED
68430552,4190,1460,DELIVERED
68430788,15561,2642,DELIVERED
68431089,9996,3667,DELIVERED
68431111,7615,147,DELIVERED
68431113,4190,3498,DELIVERED
68431370,2061,1935,DELIVERED
68431651,4190,4504,DELIVERED
68431672,28169,3778,DELIVERED
68431673,4190,2549,DELIVERED
68432080,510,3722,DELIVERED
68432084,28072,843,DELIVERED
68432184,0,3958,CANCELLED
68432271,13527,711,DELIVERED
68432272,6161,1853,DELIVERED
68432345,4190,793,DELIVERED
68432349,15061,2975,DELIVERED
68432360,26879,2625,DELIVERED
68432363,726,1183,DELIVERED
68432364,7638,538,DELIVERED
68432367,731,1689,DELIVERED
68432421,22901,4283,DELIVERED
68432455,14059,907,DELIVERED
68432456,2837,5303,DELIVERED
68432509,5623,2483,DELIVERED
68432554,9996,2591,DELIVERED
68432718,358,5500,DELIVERED
68432823,29077,3299,DELIVERED
68432907,28169,2217,DELIVERED
68433064,29077,1947,DELIVERED
68433305,19793,5775,DELIVERED
68433359,14621,764,DELIVERED
68433418,15661,3311,DELIVERED
68433613,9996,1299,DELIVERED
68434112,13117,1746,DELIVERED
68434118,5628,1619,DELIVERED
68434121,1113,918,DELIVERED
68434135,1405,2582,DELIVERED
68434341,15375,709,DELIVERED
68434362,10200,2921,DELIVERED
68434442,24715,2162,DELIVERED
68434497,29557,1543,DELIVERED
68434509,731,1644,DELIVERED
68434849,430,1186,DELIVERED
68434852,1113,3580,DELIVERED
68434998,25409,3364,DELIVERED
68435114,26075,1640,DELIVERED
68435117,1113,1207,DELIVERED
68435186,17322,742,DELIVERED
68435227,11263,378,DELIVERED
68435251,9025,1560,DELIVERED
68435318,26442,1014,DELIVERED
68435369,25651,5460,DELIVERED
68435423,17322,1452,DELIVERED
68435581,15834,6043,DELIVERED
68435678,23399,3689,DELIVERED
68435750,27294,2388,DELIVERED
68436230,5250,836,DELIVERED
68436272,11615,3426,DELIVERED
68436387,23784,3198,DELIVERED
68436424,17322,1488,DELIVERED
68436527,26237,5250,DELIVERED
68436531,21454,3167,DELIVERED
68436552,21454,1806,DELIVERED
68436652,6161,4020,DELIVERED
68436696,6656,197,DELIVERED
68436739,4937,6214,DELIVERED
68436740,7767,5587,DELIVERED
68436742,21923,4104,DELIVERED
68436885,24584,1265,DELIVERED
68437205,5315,963,DELIVERED
68437283,7953,251,DELIVERED
68437365,14382,2363,DELIVERED
68437407,5128,2704,DELIVERED
68437423,14382,2624,DELIVERED
68437451,14382,2406,DELIVERED
68437453,5052,4346,DELIVERED
68437454,29966,3527,DELIVERED
68437524,30574,1216,DELIVERED
68437660,14666,1951,DELIVERED
68437768,10514,3101,DELIVERED
68437859,25689,4504,DELIVERED
68437922,2490,2477,DELIVERED
68437931,30574,340,DELIVERED
68437987,22198,747,DELIVERED
68438068,11466,3486,DELIVERED
68438108,319,2107,DELIVERED
68438109,15898,4573,DELIVERED
68438198,14702,2111,DELIVERED
68438409,20495,3736,DELIVERED
68438460,6165,1661,DELIVERED
68438540,29271,3480,DELIVERED
68438647,123,1912,DELIVERED
68438654,30574,1526,DELIVERED
68438889,30030,1407,DELIVERED
68439120,16430,1956,DELIVERED
68439210,13043,4988,DELIVERED
68439472,30030,676,DELIVERED
68439642,31132,4923,DELIVERED
68439699,3834,1714,DELIVERED
68440068,16496,1809,DELIVERED
68440275,25651,2541,DELIVERED
68440320,30854,2357,DELIVERED
68440439,17907,3054,DELIVERED
68440517,17477,2491,DELIVERED
68440577,14513,3610,DELIVERED
68440579,15061,2463,DELIVERED
68440673,8378,5052,DELIVERED
68440697,2061,1605,DELIVERED
68440751,23092,1766,DELIVERED
68441035,510,1110,DELIVERED
68441076,26879,2122,DELIVERED
68441081,9509,3846,DELIVERED
68441235,2945,1275,DELIVERED
68441428,28072,893,DELIVERED
68441526,9043,459,DELIVERED
68441587,14617,107,DELIVERED
68441630,888,4609,DELIVERED
68441631,2355,1399,DELIVERED
68441676,731,5354,DELIVERED
68441731,25409,2535,DELIVERED
68441760,5402,1135,DELIVERED
