order_id,store_id,channel_id,payment_order_id,delivery_id,order_status,order_amount,order_moment_created,order_moment_finished
68405119,3512,5,68405119,68405119,CANCELED,62.7,1/1/2021 0:00,
68405123,3512,5,68405123,68405123,CANCELED,62.7,1/1/2021 0:04,
68405206,3512,5,68405206,68405206,CANCELED,115.5,1/1/2021 0:13,
68405465,3401,5,68405465,68405465,CANCELED,55.9,1/1/2021 0:19,
68406064,3401,5,68406064,68406064,CANCELED,37.9,1/1/2021 0:26,
68408108,786,5,68408108,68408108,CANCELED,80,1/1/2021 0:56,
68408109,1125,5,68408109,68408109,CANCELED,71,1/1/2021 0:56,
68409030,1064,35,68409030,68409030,CANCELED,214.8,1/1/2021 1:56,
68410055,2181,35,68410055,68410055,FINISHED,394.8,1/1/2021 2:32,1/2/2021 18:57
68412121,1152,5,68412121,68412121,CANCELED,25.5,1/1/2021 13:57,
68412122,490,5,68412122,68412122,CANCELED,30,1/1/2021 13:57,
68412123,674,5,68412123,68412123,CANCELED,74.5,1/1/2021 13:57,
68412131,490,5,68412131,68412131,CANCELED,48,1/1/2021 13:58,
68412134,679,5,68412134,68412134,CANCELED,34.9,1/1/2021 13:58,
68412148,294,5,68412148,68412148,CANCELED,34,1/1/2021 14:02,
68412322,294,5,68412322,68412322,CANCELED,39.3,1/1/2021 14:06,
68412444,294,5,68412444,68412444,CANCELED,41.5,1/1/2021 14:08,
68412721,631,5,68412721,68412721,FINISHED,195.05,1/1/2021 14:12,1/1/2021 16:12
68413340,631,5,68413340,68413340,FINISHED,46.9,1/1/2021 14:14,1/1/2021 15:31
68414018,3265,5,68414018,68414018,FINISHED,45.8,1/1/2021 14:17,1/1/2021 15:09
68414309,236,5,68414309,68414309,FINISHED,94.9,1/1/2021 14:21,1/1/2021 14:50
68414512,631,5,68414512,68414512,FINISHED,45.9,1/1/2021 14:24,1/1/2021 15:49
68414563,955,5,68414563,68414563,FINISHED,26.9,1/1/2021 14:24,1/1/2021 15:30
68414907,294,5,68414907,68414907,CANCELED,32.4,1/1/2021 14:27,
68415103,631,5,68415103,68415103,FINISHED,103.6,1/1/2021 14:31,1/1/2021 15:38
68415140,631,5,68415140,68415140,FINISHED,187.4,1/1/2021 14:31,1/1/2021 16:06
68415344,631,5,68415344,68415344,FINISHED,83.4,1/1/2021 14:33,1/1/2021 16:18
68415457,631,5,68415457,68415457,FINISHED,136.8,1/1/2021 14:34,1/1/2021 15:23
68415474,631,5,68415474,68415474,FINISHED,158.3,1/1/2021 14:34,1/1/2021 15:59
68415543,3528,5,68415543,68415543,FINISHED,21.9,1/1/2021 14:35,1/1/2021 16:27
68415947,3265,5,68415947,68415947,FINISHED,25.9,1/1/2021 14:37,1/1/2021 15:36
68416059,631,5,68416059,68416059,FINISHED,163.3,1/1/2021 14:38,1/1/2021 15:32
68416226,3265,5,68416226,68416226,FINISHED,31.4,1/1/2021 14:40,1/1/2021 15:31
68416227,3265,5,68416227,68416227,FINISHED,25.9,1/1/2021 14:40,1/1/2021 15:31
68416230,1016,5,68416230,68416230,FINISHED,39.8,1/1/2021 14:40,1/1/2021 14:57
68416339,1530,5,68416339,68416339,CANCELED,34.2,1/1/2021 14:43,
68416397,3265,5,68416397,68416397,FINISHED,29,1/1/2021 14:44,1/1/2021 15:43
68416643,955,5,68416643,68416643,FINISHED,46.8,1/1/2021 14:46,1/1/2021 15:23
68417189,406,5,68417189,68417189,CANCELED,25.9,1/1/2021 14:52,
68417307,955,5,68417307,68417307,FINISHED,41.9,1/1/2021 14:54,1/1/2021 15:39
68417497,3265,5,68417497,68417497,FINISHED,28,1/1/2021 14:55,1/1/2021 16:00
68417544,399,5,68417544,68417544,FINISHED,99.4,1/1/2021 14:56,1/1/2021 19:19
68417646,955,5,68417646,68417646,FINISHED,54.9,1/1/2021 14:58,1/1/2021 15:30
68417778,3265,5,68417778,68417778,FINISHED,32.4,1/1/2021 14:59,1/1/2021 15:55
68417783,659,5,68417783,68417783,CANCELED,121.1,1/1/2021 15:00,
68417787,3528,5,68417787,68417787,FINISHED,74.9,1/1/2021 15:01,1/1/2021 17:27
68417799,3265,5,68417799,68417799,FINISHED,31,1/1/2021 15:02,1/1/2021 16:05
68418089,274,5,68418089,68418089,FINISHED,64,1/1/2021 15:04,1/1/2021 15:50
68418092,3265,5,68418092,68418092,FINISHED,47.8,1/1/2021 15:04,1/1/2021 16:05
68418430,707,5,68418430,68418430,FINISHED,205.5,1/1/2021 15:05,1/1/2021 15:41
68418711,998,5,68418711,68418711,FINISHED,69,1/1/2021 15:06,1/1/2021 15:46
68419091,236,5,68419091,68419091,FINISHED,87.35,1/1/2021 15:08,1/1/2021 15:49
