payment_order_id,payment_amount,payment_fee,payment_method,payment_status
68405119,118.44,0,VOUCHER,PAID
68405123,206.95,5.59,ONLINE,PAID
68405206,58.8,1.59,ONLINE,PAID
68405465,45.8,0.92,ONLINE,PAID
68406064,106.8,2.88,ONLINE,PAID
68408108,57.8,1.56,ONLINE,PAID
68408109,26.9,0.4,ONLINE,PAID
68409030,115.5,3.12,ONLINE,PAID
68410055,199.3,5.38,ONLINE,PAID
68412121,95.3,2.57,ONLINE,PAID
68412122,148.7,4.01,ONLINE,PAID
68412123,170.2,4.6,ONLINE,PAID
68412131,19.9,0.3,ONLINE,PAID
68412134,25.9,0.52,ONLINE,PAID
68412148,175.2,4.73,ONLINE,PAID
68412322,31.4,0.63,ONLINE,PAID
68412444,25.9,0.52,ONLINE,PAID
68412721,46.79,0.7,ONLINE,PAID
68413340,29,0.58,ONLINE,PAID
68414018,46.8,0.7,ONLINE,PAID
68414309,41.9,0.63,ONLINE,PAID
68414512,28,0.56,ONLINE,PAID
68414563,32.4,0.65,ONLINE,PAID
68414907,72.9,1.09,ONLINE,PAID
68415103,31,0.62,ONLINE,PAID
68415140,75.9,2.05,ONLINE,PAID
68415344,47.8,0.96,ONLINE,PAID
68415457,217.4,5.87,ONLINE,PAID
68415474,78.9,1.18,ONLINE,PAID
68415543,99.25,2.68,ONLINE,PAID
68415947,85.6,1.28,ONLINE,PAID
68416059,112.2,3.03,ONLINE,PAID
68416226,10,0,VOUCHER,PAID
68416227,33.39,0.5,ONLINE,PAID
68416230,202.4,5.46,ONLINE,PAID
68416339,167.2,4.51,ONLINE,PAID
68416397,24.9,0.37,ONLINE,PAID
68416643,128.9,3.48,ONLINE,PAID
68417189,168.7,4.55,ONLINE,PAID
68417307,127.05,3.43,ONLINE,PAID
68417497,81.8,2.21,ONLINE,PAID
68417544,47.8,0.72,ONLINE,PAID
68417646,62.7,0.94,ONLINE,PAID
68417778,5,0,VOUCHER,PAID
68417783,246.5,6.66,ONLINE,PAID
68417787,61.8,1.24,ONLINE,PAID
68417799,13.9,0.21,ONLINE,PAID
68418089,35.8,0.54,ONLINE,PAID
68418092,20.9,0.42,ONLINE,PAID
68418430,104.25,2.81,ONLINE,PAID
68418711,51.7,0.78,ONLINE,PAID
68419091,24.8,0.37,ONLINE,PAID
68419094,155.3,4.19,ONLINE,PAID
68419140,141.6,3.82,ONLINE,PAID
68419146,180.8,4.88,ONLINE,PAID
68419302,22.9,0.34,ONLINE,PAID
68419305,119.25,3.22,ONLINE,PAID
68419373,58.8,1.59,ONLINE,PAID
68419684,93.7,2.53,ONLINE,PAID
68419797,85,1.28,ONLINE,PAID
68419848,77.3,2.09,ONLINE,PAID
68420053,45.7,0.69,ONLINE,PAID
68420308,49.9,1.35,ONLINE,PAID
68420589,137.8,3.72,ONLINE,PAID
68420592,196.5,5.31,ONLINE,PAID
68420776,86.3,2.33,ONLINE,PAID
68420869,281.9,7.61,ONLINE,PAID
68421071,57,1.14,ONLINE,PAID
68421547,54.9,0.82,DEBIT,PAID
68421551,172.6,4.66,ONLINE,PAID
68421917,161.7,4.37,ONLINE,PAID
68421987,30.8,0.46,ONLINE,PAID
68422045,192.5,5.2,ONLINE,PAID
68422076,64.7,1.75,ONLINE,PAID
68422092,55.9,1.12,ONLINE,PAID
68422281,340.9,5.11,ONLINE,PAID
68422614,161.5,4.36,ONLINE,PAID
68422671,147.3,3.98,ONLINE,PAID
68422740,101.4,2.74,ONLINE,PAID
68423110,155.3,4.19,ONLINE,PAID
68423162,113.5,3.06,ONLINE,PAID
68423436,161.9,4.37,ONLINE,PAID
68423588,73.7,1.99,ONLINE,PAID
68423643,155.7,4.2,ONLINE,PAID
68423762,122.8,3.32,ONLINE,PAID
68423847,171.8,4.64,ONLINE,PAID
68424216,24.8,0.37,ONLINE,PAID
68424238,17.9,0.27,ONLINE,PAID
68424433,56.8,1.53,ONLINE,PAID
68424547,17.9,0.27,ONLINE,PAID
68424656,115.09,1.73,ONLINE,PAID
68424659,136.75,3.69,ONLINE,PAID
68424660,106.15,2.87,ONLINE,PAID
68424858,99.3,2.68,ONLINE,PAID
68425021,86.8,2.34,ONLINE,PAID
68425058,128.2,3.46,ONLINE,PAID
68425821,71.7,1.43,ONLINE,PAID
68426187,52.9,1.06,ONLINE,PAID
68426262,5,0,VOUCHER,PAID
68426299,57.7,1.56,ONLINE,PAID
68426376,62.7,0.94,ONLINE,PAID
68426421,11.9,0.18,ONLINE,PAID
68426427,104.7,2.83,ONLINE,PAID
68426471,155.3,4.19,ONLINE,PAID
68426619,49.9,1.35,ONLINE,PAID
68426696,101.2,2.73,ONLINE,PAID
68426996,91.3,2.47,ONLINE,PAID
68427057,117.7,3.18,ONLINE,PAID
68427326,35.8,0.54,ONLINE,PAID
68427588,187.9,5.07,ONLINE,PAID
68427630,10,0,VOUCHER,PAID
68427637,82.25,2.22,ONLINE,PAID
68427952,31.8,0.48,ONLINE,PAID
68427968,148.39,2.23,ONLINE,PAID
68428396,24.9,0.5,ONLINE,PAID
68428457,45.7,0.69,ONLINE,PAID
68428503,90.72,1.36,ONLINE,PAID
68428566,81.6,2.2,ONLINE,PAID
68428840,132.7,3.58,ONLINE,PAID
68429064,98.6,2.66,ONLINE,PAID
68429127,159.7,4.31,ONLINE,PAID
68429213,45.9,0.92,ONLINE,PAID
68429311,74.3,2.01,ONLINE,PAID
68429364,108.6,2.93,ONLINE,PAID
68429379,151.8,4.1,ONLINE,PAID
68429530,161.7,4.37,ONLINE,PAID
68429550,107.2,2.89,ONLINE,PAID
68429631,68.4,1.85,ONLINE,PAID
68429881,51.8,1.04,ONLINE,PAID
68430182,86.8,2.34,ONLINE,PAID
68430224,49.9,1.35,ONLINE,PAID
68430280,77.9,1.17,ONLINE,PAID
68430392,196.8,5.31,ONLINE,PAID
68430452,107.4,1.61,ONLINE,PAID
68430487,95.4,2.58,ONLINE,PAID
68430526,25.9,0.39,ONLINE,PAID
68430527,68.7,1.37,ONLINE,PAID
68430552,56.3,1.13,ONLINE,PAID
68430788,67.8,1.02,ONLINE,PAID
68431089,86.8,2.34,ONLINE,PAID
68431111,19.8,0.3,ONLINE,PAID
68431113,156.8,4.23,ONLINE,PAID
68431370,203.35,5.49,ONLINE,PAID
68431651,39.8,0.6,ONLINE,PAID
68431672,67.8,1.83,ONLINE,PAID
68431673,112.5,3.04,ONLINE,PAID
68432080,143.3,3.87,ONLINE,PAID
68432084,66.9,1,ONLINE,PAID
68432184,681.6,18.4,ONLINE,PAID
68432271,144.25,3.89,ONLINE,PAID
68432272,53.9,1.08,ONLINE,PAID
68432345,67.9,1.83,ONLINE,PAID
68432349,31.4,0.63,ONLINE,PAID
68432360,132.3,3.57,ONLINE,PAID
68432363,99.8,1.5,ONLINE,PAID
68432364,86.8,2.34,ONLINE,PAID
68432367,167.2,4.51,ONLINE,PAID
68432421,99.25,2.68,ONLINE,PAID
68432455,88.8,1.33,DEBIT,PAID
68432456,62.7,0.94,ONLINE,PAID
68432509,119.25,3.22,ONLINE,PAID
68432554,56.7,0.85,ONLINE,PAID
68432718,253.2,6.84,ONLINE,PAID
68432823,162.4,4.38,ONLINE,PAID
68432907,68.4,1.85,ONLINE,PAID
68433064,86.8,2.34,ONLINE,PAID
68433305,54,0.81,ONLINE,PAID
68433359,27.8,0.42,ONLINE,PAID
68433418,166.7,4.5,ONLINE,PAID
68433613,362,9.77,ONLINE,PAID
68434112,117.7,3.18,ONLINE,PAID
68434118,189.2,5.11,ONLINE,PAID
68434121,163.5,4.41,ONLINE,PAID
68434135,131.6,3.55,ONLINE,PAID
68434341,130.2,3.52,ONLINE,PAID
68434362,86.8,2.34,ONLINE,PAID
68434442,145.2,3.92,ONLINE,PAID
68434497,91.7,1.83,ONLINE,PAID
68434509,129.6,3.5,ONLINE,PAID
68434849,26.9,0.4,ONLINE,PAID
68434852,154.15,2.93,CREDIT,PAID
68434998,125.65,3.39,ONLINE,PAID
68435114,103.7,2.8,ONLINE,PAID
68435117,111.7,3.02,ONLINE,PAID
68435186,136.2,3.68,ONLINE,PAID
68435227,71.8,1.08,DEBIT,PAID
68435251,36.4,0.98,ONLINE,PAID
68435318,66.4,1.79,ONLINE,PAID
68435369,91.8,2.48,ONLINE,PAID
68435423,181.2,4.89,ONLINE,PAID
68435581,56.9,1.14,ONLINE,PAID
68435678,152.3,4.11,ONLINE,PAID
68435750,54.8,0.82,ONLINE,PAID
68436230,211.2,5.7,ONLINE,PAID
68436272,50.8,0.76,ONLINE,PAID
68436387,48.8,0.73,ONLINE,PAID
68436424,174.8,4.72,ONLINE,PAID
68436527,93,1.86,ONLINE,PAID
68436531,21.9,0.33,ONLINE,PAID
68436552,36.9,0.55,DEBIT,PAID
68436652,105.7,2.85,ONLINE,PAID
68436696,217.7,5.88,ONLINE,PAID
68436739,112.15,3.03,ONLINE,PAID
