store_id,store_name,store_segment,store_plan_price
3,CUMIURI,FOOD,0
6,PIMGUCIS DA VIVA ,FOOD,0
8,RASMUR S ,FOOD,0
53,PAPA SUCIS ,FOOD,0
54,VUZPI PAZZIS ,FOOD,0
56,SUPSIO ,FOOD,49
58,PIAMUARIS ,FOOD,49
82,LUCITA ,FOOD,0
83,PRARIZZAI ,FOOD,0
84,PALLO MZU GRALA,FOOD,49
85,PRISMAURAI ,FOOD,0
88,EUGUSMI ,GOOD,0
89,LIS URPIMIOUS ,FOOD,49
90,CISI DA POI EU QUASI ,FOOD,49
95,ARE TRAMUO ,FOOD,49
96,PIRMI DA SIPIR ,FOOD,0
99,SIRVUMU AMILAI ,FOOD,0
100,LUPIMUIM ,FOOD,49.9
122,MASUCIE,GOOD,0
141,RO PRISMAUS ,FOOD,0
144,CIRIROI U CAI ,FOOD,49.9
149,IUMPICA ,FOOD,0
164,CLUPU RULASSI ,GOOD,0
187,LUCITA ,FOOD,49
189,USPUMUI CIRAICI ,FOOD,49
191,AR PAZZI ,FOOD,49
228,PUGUM ,GOOD,0
232,RIARI SIARI ,FOOD,0
236,IUMPICA ,FOOD,0
245,SUPSIO ,FOOD,0
261,AR TRAMUO ,FOOD,49
264,EMUOUS,GOOD,0
274,IUMPICA ,FOOD,0
294,PAPA SUCIS ,FOOD,0
295,AIEMAMIMU IU PRUSEM,GOOD,29.9
311,RISA PUM ,GOOD,29
321,IUMPICA ,FOOD,0
339,ARE TRAMUO ,FOOD,49.9
342,PIARIS,GOOD,0
345,ZIM ME MUMEUR ,FOOD,49
356,SPILUMI ,FOOD,49.9
357,PILIOU RAS ,FOOD,0
361,IPUPIEMAI ,FOOD,0
365,CIRILAMI SILUS ,FOOD,49.9
366,AR TRAMUO ,FOOD,49
367,MIUMSAU ,FOOD,49
370,PAZZI ZUM ,FOOD,49
371,LUCITA ,FOOD,0
373,CRUPULICOS ,FOOD,49
377,RIRURPIS,GOOD,0
378,OURAMIES ,FOOD,49.9
383,ACA PRISSURAU ,FOOD,49.9
387,REMFRUMIS ,FOOD,49
390,PAZZI ZUM ,FOOD,49.9
391,FAIARUMUI ,FOOD,0
399,PIARO ,FOOD,0
406,GARIOLIS ,FOOD,49
409,RC OUMILEES ,FOOD,0
414,SPILUMI ,FOOD,0
415,IPUPIEMAI ,FOOD,
416,IUMPICA ,FOOD,0
417,IUMPICA ,FOOD,0
426,ZIM M MUMEUR ,FOOD,
430,PIR DA ILUROI ,FOOD,0
435,SUSM GRALA,FOOD,49.9
439,CILAFIRMAI CIOLA ,FOOD,49.9
446,SIRLE FRA ,GOOD,29
447,PA PISACI ,GOOD,29
453,IRULAU CRUPURAU ,FOOD,49
462,CIFUAMI ,FOOD,49
476,PIARI FLIRUS ,GOOD,29
482,GIPUMZIGUM OPASI RIUSARI CIREARA ,GOOD,49.9
490,MATATA ,FOOD,49.9
491,I CISI DA PAMPE ,GOOD,29.9
493,PAZZI ZUM ,FOOD,49.9
495,IUMPICA ,FOOD,0
496,IUMPICA ,FOOD,
497,CISI DA URPIOU ,FOOD,0
501,RISIRA ,FOOD,49.9
508,GROI USPRUSSI ,FOOD,49
515,GULIMURAI RE ,FOOD,49
520,IRIR OIS PUOUMIS ,FOOD,49.9
524,ILA RIERUGI ,GOOD,49.9
525,PUCIRAMI  ,FOOD,49.9
529,GULIMURAI RE ,FOOD,49
531,CISUMPES ,FOOD,49.9
532,SIRLE FRA ,GOOD,29.9
540,UMIG ,GOOD,49
545,IAMUR ,FOOD,49.9
555,RIGU I CIGU ,FOOD,49
563,MZU PLICA PAF ,FOOD,49.9
564,PUMGUA ,FOOD,49.9
582,SPILUMI ,FOOD,49.9
585,MUMRIFAM ,GOOD,29.9
586,GULIMI PIRULA ,FOOD,49.9
587,PIARO ,FOOD,
590,VUG UP ,FOOD,49
591,MZU SUACU LIP ,FOOD,49.9
595,ZIVIMUI ,GOOD,49.9
599,LIFM ,GOOD,
600,GRIME CRU ,GOOD,29.9
603,GRIME CRU ,GOOD,29.9
604,SIRVUMU AMILAI ,FOOD,49.9
605,MIMAMI SAMU VAMUIGU ,GOOD,49.9
606,MAP MIP ,GOOD,
607,ECILUMI MI LISI FASACIO PASCIAMO ,FOOD,49.9
616,CILAFIRMAI CIOLA ,FOOD,49
622,PASCIAMO ,FOOD,49.9
623,SUPSIO ,FOOD,49.9
624,SPILUMI ,FOOD,49.9
626,MUMRIFAM ,GOOD,29.9
627,FAM RIRGUM ,GOOD,29.9
629,RIARI SIARI ,FOOD,
631,IUMPICA ,FOOD,
632,IPUPIEMAI ,FOOD,
633,ZIVIMUI ,GOOD,49.9
640,GRIME CRU ,GOOD,49
641,MUMRIFAM ,GOOD,29.9
644,USARULI DA SUA,FOOD,
646,PASCIAMU ,FOOD,49.9
648,PIPRU SUIM ,FOOD,49.9
651,SIZMUO RICAUMS ,FOOD,49.9
652,MUMRIFAM ,GOOD,29.9
656,IPALUPAES ,FOOD,0.01
657,RIGAC FAM ,GOOD,29.9
658,IUMPICA ,FOOD,
659,IPUPIEMAI ,FOOD,
660,FIRIFI CIRAICI ,FOOD,49
661,RA VACAI EUSEU I AMACAI ,FOOD,49
666,RIZI ,FOOD,49.9
669,PUPALUGALA,FOOD,49.9
673,MIZPIZ ,FOOD,49
674,AR TRAMUO ,FOOD,49.9
676,IUMPICA ,FOOD,
678,MZU PIUI ,FOOD,49
679,ZIRIE ,FOOD,49
681,CISI DA POI EU QUASI ,FOOD,49.9
682,MISMO GRALA,FOOD,49.9
684,RIZIGIMO ,GOOD,29.9
685,CICIU SZIS ,GOOD,29.9
686,RIMUIMI GRALA,FOOD,49.9
687,LUPI ,GOOD,29.9
689,RIRIMI ,GOOD,29.9
690,EAVAMI FIGOI ,FOOD,49.9
692,PIULIMGURAU CIRAICI ,FOOD,49.9
693,EURECA ,GOOD,29
695,PILAS SUCIS ,FOOD,49
697,ZIPU ,GOOD,29.9
700,CZALLA PUIMS ,GOOD,29.9
701,SMIRPIAMU ,GOOD,29.9
702,EUCI SGAM ,GOOD,
706,AR CIM ,GOOD,29.9
707,IUMPICA ,FOOD,
716,EA CUMUI ,FOOD,49.9
728,GUMOUA ,FOOD,49.9
735,IRIR OIS PUOUMIS ,FOOD,49.9
739,GIPUMZIGUM ,GOOD,29
745,IGUAI VUMURAMIRAI ,GOOD,
747,IRUZZI ,GOOD,29.9
748,LI PISMI GAIMOI ,FOOD,49.9
753,PF PIR FIVIR ,FOOD,0
754,GIPUMZIGUM ,GOOD,
762,CZALLA PUIMS ,GOOD,29.9
763,CISI PIUEUEMI ,GOOD,49.9
767,PASSIMA ,FOOD,49.9
771,MISQUAMZI DA USQUAMI ,FOOD,49.9
773,OU SALVI ,FOOD,49
780,GARIOLIS ,FOOD,
783,VUZPI ,FOOD,49
785,ARE TRAMUO ,FOOD,49.9
786,LU PUMAM RICIRIMS ,GOOD,49.9
787,PUGOIE ,FOOD,49.9
790,MZU SMUIG FICMIRO ,FOOD,49.9
791,PULGAIM SIOLLU ,FOOD,0
792,CIOLAMISM ,FOOD,0
801,CIMUAMI PUIMISURI ,FOOD,49
802,PIAMUARIS CIFO ,FOOD,49
804,MOIRI MPECILIMU PIR ,FOOD,49
806,IMLAIZA,GOOD,
807,ZIMRPI,GOOD,
808,ROICIPIP,GOOD,
809,GARPI ,GOOD,29.9
810,PIULIMGURAU ,FOOD,49
811,CISI DA PRUSI ,GOOD,0.01
824,RUMOU VUREU ,GOOD,29.9
828,MUI SZIP ,GOOD,
832,RUSURVI FLIRIA,GOOD,29.9
837,SMIR PIAMU ,GOOD,29
840,SIZMUO RICAUMS ,FOOD,49.9
845,RUA DA RIMU ,FOOD,
847,GIGIRUS ,GOOD,29
850,CIRIRIOU CIRIROI ,FOOD,49
859,CIRIRIOU CIRIROI ,FOOD,49.9
864,RIC IME CZASU ,FOOD,0.01
869,PILIOU RAS ,FOOD,49
870,CUSMUI ,FOOD,49
875,RIRURIMUA ,FOOD,49.9
876,IVIMAR ,GOOD,29.9
877,IVIMAR ,GOOD,29
879,RISIRA ,FOOD,49.9
882,RUGIRIMA ,FOOD,49
883,GIMA ,FOOD,49
886,RC OUMILEES ,FOOD,
894,MRIMUIRAI ,FOOD,49
902,MRIRI LIP ,GOOD,29
